id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,"Thời gian xử lý ticket P1 theo SLA như sau:

- **Phản hồi ban đầu**: 15 phút kể từ khi ticket được tạo.
- **Xử lý và khắc phục**: 4 giờ.
- **Escalation**: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút.
- **Thông báo stakeholder**: Ngay khi nhận ticket, update mỗi 30 phút cho đến khi resolve [1].",Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,Faithfulness: Every piece of information in the answer can be found in the provided context for ticket P1.,5,"Relevance: The answer directly and completely addresses the user's question about the SLA for processing P1 tickets, providing specific timeframes for response a",5,Retrieved: 1/1 expected sources,5,Completeness: missing 0 points,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,"Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng, với điều kiện sản phẩm bị lỗi do nhà sản xuất và đơn hàng chưa được sử dụng hoặc chưa bị mở seal [1][2].",Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"Faithfulness: Every piece of information in the answer can be found in the provided context, specifically regarding the conditions for requesting a refund.",5,Relevance: The answer directly and completely addresses the user's question about the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,Completeness: missing 0 points,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt từ:

- Line Manager
- IT Admin
- IT Security

Thời gian xử lý cho yêu cầu này là 3 ngày làm việc [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"Faithfulness: Every piece of information in the answer can be found in the context provided, specifically regarding the approval process and processing time for Lev",5,"Relevance: The answer directly addresses the user's question about who must approve Level 3 access, providing a clear and complete list of approvers.",5,Retrieved: 1/1 expected sources,5,Completeness: missing 0 points,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Xin lỗi, tôi không có đủ dữ liệu hiện tại để trả lời câu hỏi này.","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",1,Faithfulness: The answer does not provide any information grounded in the context and instead states a lack of data.,1,Relevance: The answer does not address the user's question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,1,"Completeness: missing 3 points: Sản phẩm kỹ thuật số không được hoàn tiền, Chính sách hoàn tiền có ngoại lệ cho hàng kỹ thuật số, Ví",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn có thể liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,Faithfulness: Every piece of information in the answer can be found in the provided context.,5,Relevance: The answer directly and completely addresses the user's question about how many failed login attempts lead to an account being locked.,5,Retrieved: 1/1 expected sources,5,Completeness: missing 0 points,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Quy trình escalation trong sự cố P1 diễn ra như sau:

1. **Tiếp nhận**: On-call engineer nhận alert hoặc ticket và xác nhận severity trong vòng 5 phút.
2. **Thông báo**: Gửi thông báo tới Slack #incident-p1 và email incident@company.internal ngay lập tức.
3. **Triage và phân công**: Lead Engineer phân công engineer xử lý trong vòng 10 phút.
4. **Xử lý**: Engineer cập nhật tiến độ lên ticket mỗi 30 phút. Nếu cần hỗ trợ thêm, engineer có thể escalate ngay.
5. **Escalation tự động**: Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
6. **Resolution**: Sau khi khắc phục, engineer phải viết incident report trong vòng 24 giờ [2][3].

Ngoài ra, trong trường hợp cần cấp quyền tạm thời để khắc phục sự cố P1, quy trình escalation khẩn cấp như sau:

1. On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời.
2. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động.
3. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,Faithfulness: Every piece of information in the answer can be found in the provided context.,5,"Relevance: The answer directly and completely addresses the user's question about the escalation process in a P1 incident, providing a detailed step-by-step expl",5,Retrieved: 1/1 expected sources,5,Completeness: missing 0 points,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Tài liệu liên quan đến Approval Matrix để cấp quyền hệ thống là ""Access Control SOP"" (Standard Operating Procedure) của bộ phận IT Security. Tài liệu này quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty và áp dụng cho tất cả nhân viên, contractor, và third-party vendor [1]. 

Nếu bạn cần thêm thông tin chi tiết về quy trình yêu cầu cấp quyền hoặc phân cấp quyền truy cập, vui lòng cho tôi biết!",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,"Faithfulness: The answer accurately references the process for granting access and the applicability to employees, contractors, and third-party vendors as stated in",4,"Relevance: The answer correctly identifies a relevant document (Access Control SOP) related to the Approval Matrix for system access rights, but it could provide",5,Retrieved: 1/1 expected sources,5,Completeness: missing 0 points,baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi đã hoàn thành thời gian thử việc. Tuy nhiên, lịch remote cần phải được phê duyệt bởi Team Lead qua HR Portal. Ngoài ra, các ngày làm việc onsite bắt buộc là thứ Ba và thứ Năm theo lịch của team [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,Faithfulness: Every piece of information in the answer can be found in the provided context.,5,Relevance: The answer directly and completely addresses the user's question about the maximum number of remote work days per week.,5,Retrieved: 1/1 expected sources,5,Completeness: missing 0 points,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Xin lỗi, tôi không có đủ dữ liệu hiện tại để trả lời câu hỏi này.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"Faithfulness: The answer does not provide any information that can be found in the context, indicating a lack of grounding.",1,Relevance: The answer does not address the user's question about ERR-403-AUTH error and how to handle it.,,No expected sources,2,"Completeness: missing 2 points: No information about ERR-403-AUTH being related to authentication, No suggestion to contact IT Helpd",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Xin lỗi, tôi không có đủ dữ liệu hiện tại để trả lời câu hỏi này.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"Faithfulness: The answer does not provide any information that can be found in the context, indicating a complete lack of grounding.",1,Relevance: The answer does not address the user's question about the process for urgent refunds for VIP customers.,5,Retrieved: 1/1 expected sources,1,"Completeness: missing 2 points: No mention of the refund policy for VIP customers, No information about the standard refund process ",baseline_dense
